target_id	length	eff_length	est_counts	tpm
comp25817_c0_seq1	207	66.4038	102	23.2391
comp24212_c0_seq1	213	70.2971	11	2.36737
comp24839_c0_seq1	221	75.7279	23	4.59498
comp24838_c0_seq1	270	112.512	166	22.3214
comp24428_c0_seq1	365	194.92	49	3.80322
comp24721_c0_seq1	493	316.965	34	1.62285
comp24000_c0_seq1	633	455.018	5	0.166247
comp25520_c0_seq1	350	181.215	1261	105.277
comp24622_c0_seq1	332	164.992	1	0.0916955
comp25865_c0_seq1	225	78.4775	82	15.8081
comp25000_c0_seq1	517	340.415	2.94542	0.130903
comp25000_c0_seq2	468	292.601	45.2583	2.3401
comp25000_c0_seq3	344	175.741	28.7962	2.47898
comp25000_c0_seq4	295	133.073	0	0
comp24118_c0_seq1	503	326.693	4	0.185239
comp24497_c0_seq1	329	162.377	3	0.279516
comp25383_c0_seq1	286	125.587	64	7.70985
comp24774_c0_seq1	317	152.002	0	0
comp25605_c0_seq1	458	282.89	1	0.0534803
comp24315_c0_seq1	412	238.863	116	7.34717
comp25024_c0_seq1	219	74.3611	97	19.735
comp25360_c0_seq1	265	108.468	9	1.25531
comp25719_c0_seq1	428	254.13	0	0
comp25719_c0_seq2	328	161.511	0	0
comp25086_c0_seq1	276	117.393	317	40.8533
comp25855_c0_seq1	620	442.108	204	6.98094
comp24670_c0_seq1	357	187.556	29	2.33926
comp25565_c0_seq1	218	73.6926	7	1.4371
comp25599_c0_seq1	205	65.0756	8	1.85988
comp25659_c0_seq1	219	74.3611	1	0.203454
comp24946_c0_seq1	410	236.957	13	0.830016
comp24528_c0_seq1	206	65.7379	7	1.61099
comp25120_c0_seq1	291	129.633	68	7.93606
comp25502_c0_seq1	469	293.58	37	1.90672
comp24732_c0_seq1	699	520.7	10	0.290552
comp25702_c0_seq1	224	77.7623	1	0.194555
comp25452_c0_seq1	591	413.405	6	0.219577
comp24372_c0_seq1	253	99.1562	2	0.305156
comp24201_c0_seq1	586	408.44	15	0.555616
comp24190_c0_seq1	349	180.287	12	1.007
comp24360_c0_seq1	311	146.795	408	42.0496
comp25846_c0_seq1	376	205.126	113	8.3343
comp25688_c0_seq1	265	108.468	34	4.7423
comp24660_c0_seq1	215	71.5708	0	0
comp24982_c0_seq1	400	227.553	0	0
comp25830_c0_seq1	266	109.276	14	1.93827
comp25472_c0_seq1	251	97.6654	13	2.01379
comp25435_c0_seq1	399	226.596	13	0.867966
comp25272_c0_seq1	394	221.857	36	2.45494
comp24909_c0_seq1	365	194.92	75	5.82126
comp25779_c0_seq1	320	154.55	470	46.0086
comp24807_c0_seq1	690	511.729	2	0.0591291
comp25283_c0_seq1	374	203.243	657	48.906
comp24932_c0_seq1	321	155.412	127	12.3632
comp24651_c0_seq1	237	87.1385	4	0.694483
comp25753_c0_seq1	225	78.4775	3	0.578346
comp24619_c0_seq1	250	96.8716	43	6.71558
comp25954_c0_seq1	290	128.824	1	0.11744
comp25875_c0_seq1	265	108.468	25	3.48698
comp25858_c0_seq1	262	106.094	26	3.70761
