target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f
XM_015810060.1,1.06246,0,80.8478,576.257
XM_015810061.1,0.177571,1.59663,0.364591,0.210279
XM_015810062.1,0,0,0,0
XM_015810063.1,0.0753125,0,52.376,0
XM_015810064.1,0.0945423,0.312589,0,0.0372028
XM_015810065.1,0,0,0,0
XM_015810066.2,0,0,0,0
XM_015810067.2,0,0,0,0
XM_015810068.1,0,0,0.0166679,0.0175846
XM_015810069.1,0,0,109.006,0
XM_015810070.1,0,0,41.3052,0
XM_015810071.1,0,0,0,0
XM_015810072.2,0,0,0,0
XM_015810073.1,0.204209,0.898747,0,0
XM_015810074.1,0.0567297,0.538258,0.0847025,0.0670621
XM_015810075.1,0,0,0,0
XM_015810076.1,0.468547,1.42927,21.0472,330.623
XM_015810077.2,0,0,0,0
XM_015810078.1,0,0,0,0
XM_015810079.1,0,0,0,0
XM_015810080.1,0,0,0,0
XM_015810081.1,0,0,0,0
XM_015810082.1,0,0,0,0
XM_015810083.1,0,0,0,0
XM_015810084.1,0,0,0,0
XM_015810085.1,0,0,0.353097,0.00688891
XM_015810086.1,0,0,0,0
XM_015810087.1,0,0,0,0
XM_015810088.1,0,0,0,0
XM_015810089.2,0,0,0,0
XM_015810090.2,0,0,0,0
XM_015810092.1,0,0,0,0
XM_015810093.1,0,0,0,0
XM_015810094.1,174.87,0.931295,17.2453,44.5601
XM_015810098.1,0,0,0,0
XM_015810099.1,0,0,0,0
XM_015810100.2,0,0,0,0
XM_015810101.1,0,0,0,0
XM_015810102.1,174.87,0.931295,17.2453,44.5601
XM_015810103.2,0,0,0,0
XM_015810104.1,0,0,0,0
XM_015810105.1,0,0.42516,26.7049,0
XM_015810106.1,0,0,0,0
XM_015810107.1,0,0,0,0
XM_015810108.1,0,0.625451,0,0
XM_015810109.1,0,0,0,0
XM_015810110.1,0,0,0,0
XM_015810111.2,0,0,0,0
XM_015810112.1,0,0,0,0
XM_015810114.1,0,0,0,0
XM_015810115.1,0,0,0,0
XM_015810116.1,0,0,0,0
XM_015810117.1,0,0,0,0
XM_015810118.1,0,0,0,0
XM_015810119.1,0,0,0,0
XM_015810120.1,0,0,0,0
XM_015810122.1,0,0,0,0
XM_015810123.1,0,0,0,0
XM_015810124.1,0.0645309,0.651828,0.0401413,0.0253794
XM_015810125.1,0,0,0,0
XM_015810126.1,0,0,0,0
XM_015810127.2,0,0,0,0
XM_015810128.1,0,0,0,0
XM_015810129.1,0,0,0,0
XM_015810130.1,0,0,0,0
XM_015810131.1,0,0,0,0
XM_015810132.1,0,0,0,0
XM_015810133.1,0,0,0,0
XM_015810134.2,0,0,0,0
XM_015810135.1,0.604151,4.39029,28.4016,0.248487
XM_015810136.1,0,0,0,0
XM_015810137.1,0,0,0,0
XM_015810141.1,0,0,0,0
XM_015810143.1,0,0,0,0
XM_015810145.1,0,0,0.542363,0.0358453
XM_015810146.1,0.029487,0.101457,0.0146733,0.0115896
XM_015810147.1,0.0722865,0,0.0269839,66.139
XM_015810149.1,0,0,0,0
XM_015810150.1,0,0,0,0
XM_015810151.1,0,0,0,0
XM_015810152.1,0,0,45.7891,0.0317768
XM_015810153.1,0.140634,1.40352,25.8145,66.0198
XM_015810154.2,0.456467,3.09072,66.4823,0.467376
XM_015810155.2,0,0,0,0
XM_015810156.1,0,0,0,0
XM_015810157.2,0,0,0,0
XM_015810158.1,0,0,85.2295,0.123768
XM_015810159.1,0.410034,1.49124,0,0
XM_015810160.1,0.414292,0,196.076,0
XM_015810161.1,0,0,0.0134949,0.0142178
XM_015810162.1,0,0,74.6495,0
XM_015810163.1,944.744,15368.3,17.4576,128.852
XM_015810164.1,0,0,15.5142,0
XM_015810165.1,0.0598068,0,22.3557,0.0117661
XM_015810166.1,143.523,0,0.0125015,0.0659078
XM_015810167.1,0,0,18.2924,0.0137189
XM_015810168.1,0,0,0,0
XM_015810169.1,65.7792,969.405,3.07984,9.23034
XM_015810170.2,0.0186553,0.378859,0.076589,0
XM_015810171.1,0.0370844,0,0,0.0145973
XM_015810173.1,0,0,0,0
XM_015810174.1,0.229876,2.9754,100.789,0.045425
XM_015810175.1,0,0,0,0
XM_015810176.1,0.0210818,0,5.25604,0
XM_015810177.1,0,0.750031,73.1451,0.060256
XM_015810178.1,0,0.883578,2.2334,0.0179874
XM_015810179.1,0,0,0.00800434,0.0168691
XM_015810180.1,47.9272,0.661724,16.5891,27.1903
XM_015810181.1,31.4542,2.20743,88.4086,0.177088
XM_015810182.1,0,0,0,0.00829839
XM_015810183.1,0,0,76.3549,0.0586923
XM_015810184.1,0,0,0,0
XM_015810185.1,0,0,0,0
XM_015810186.1,0,0,0,0
XM_015810187.1,0.031459,0,0.0469672,0.0618961
XM_015810188.1,0,0,0,0
XM_015810190.2,0.0192183,0,0.272565,0.0226723
XM_015810191.1,7.57421,0.724211,0,0.0683764
XM_015810192.1,0.195023,0,94.6237,0.104636
XM_015810193.1,0.07624,1.40229,36.8558,11.7619
XM_015810194.1,8.6921,1.62052,31.5121,0.0612027
XM_015810195.1,0.148261,0.728024,0.0276691,0.0145898
XM_015810196.1,15.4338,0.150631,9.33835,10.4564
XM_015810197.1,0,0.654087,66.4668,0.039035
XM_015810198.1,0.182566,1.71998,0.11358,2.66235
XM_015810200.2,0,0.151513,8.2963,0.0113359
XM_015810201.1,0.0213634,0.25465,0.00331106,0.00418365
XM_015810202.1,0,0.826017,0.0286337,0.0463108
XM_015810203.1,0,0,0,0
XM_015810204.1,0.156207,0.791809,0.0801635,97.2948
XM_015810205.1,0,0,22.4756,0
XM_015810206.1,0,0,0,0
XM_015810207.1,0,0,0,0
XM_015810208.1,0,0,0.026849,0.0283652
XM_015810209.1,0,0,0,0
XM_015810210.1,0,0,0,0
XM_015810211.1,0.477855,1.02401,0.312224,213.757
XM_015810212.2,0,0,0,0
XM_015810213.1,0,0,0,0
XM_015810214.1,0.101984,0.511334,17.281,0.0802363
XM_015810215.1,0,0,0,0
XM_015810217.1,0,0,0,0
XM_015810218.1,0,1.50656,0.0725819,374.801
XM_015810219.2,0,0,0,0.0564655
XM_015810220.1,0,0,0.0139134,0
XM_015810223.1,0,0,0,0
XM_015810224.1,0,0,0,0
XM_015810225.1,0,0,0,0
XM_015810226.1,0,0,0,0
XM_015810227.1,0.107446,2.04953,64.4906,75.2865
XM_015810230.1,0,0,0,0
XM_015810231.1,0,0,0,0
XM_015810232.1,0,0,0,0
XM_015810233.1,0,0,0,0
XM_015810234.1,0,0,0,0
XM_015810236.1,0,0,0,0
XM_015810237.1,0.0555046,0,0.0207182,0
XM_015810238.1,0,0,0,0.00665694
XM_015810239.1,0,0,0,0
XM_015810240.1,0.0406222,0,0,0.0159929
XM_015810241.1,0.0719443,1.0619,2.69872,0
XM_015810242.1,0,0,0,0
XM_015810243.1,0,0,0,0
XM_015810244.2,0,0,0,0
XM_015810245.1,0.0425182,0.413543,0.0158701,0
XM_015810246.1,0,0,0,0
XM_015810247.1,0,0,0,0
XM_015810248.1,0,0,0,0
XM_015810249.1,0.0425937,0,96.9129,0.0335418
XM_015810250.1,2639.3,10.4942,1774.71,589.101
XM_015810251.2,0,0.282169,0,0.011127
XM_015810252.1,0.0963803,0,98.7659,0.038059
XM_015810253.1,0,0,0,0
XM_015810254.1,0,0,0,0
XM_015810255.1,0.022513,0.453973,50.81,0.00885463
XM_015810257.1,0.0353536,0.348265,1.05565,0.0417442
XM_015810258.1,0,0,44.9533,0
XM_015810259.1,0.0308786,0.306636,0.0230502,0.0121504
XM_015810260.1,0,0,0,0
XM_015810261.1,0,0,0,0.0275983
XM_015810262.1,0,0,0,0
XM_015810263.1,0.483915,5.90621,221.907,0.793808
XM_015810264.1,519.006,2.84779,264.885,362.652
XM_015810265.1,0.392595,3.40772,6.0175,8.43259
XM_015810266.1,0.303181,2.10335,127.099,301.979
XM_015810268.1,2079.76,20.6723,1207.87,547.546
XM_015810270.1,0.0503588,0.407969,25.4673,0.121753
XM_015810271.1,0,1.2099,66.7748,0.0764297
XM_015810273.1,0.105388,0,0.104895,19.9375
XM_015810274.1,0,0,0.0105932,0
XM_015810275.2,15.793,133.884,2170.22,2999.33
XM_015810276.1,0.0296203,0,0.0221109,0
XM_015810277.1,2026.45,34.943,2736.43,1742.67
XM_015810278.2,0,2.31E-07,0.185521,0
XM_015810279.1,0.038227,0,0,0
XM_015810280.1,0.0845458,0.281225,1.84074,22.7742
XM_015810281.1,0.288679,4.68912,100.515,292.018
XM_015810282.1,0.053276,0,2.6743,0.0419176
XM_015810283.1,0,0,0,0
XM_015810284.1,0,0,0,0
XM_015810285.1,0,0,0,0
XM_015810287.1,0,0,0,0
XM_015810288.1,0,0,0,0
XM_015810289.1,0,0,47.0298,0.0164585
XM_015810290.1,0.214891,2.04953,183.579,0.0322933
XM_015810291.1,0.0793851,0.264885,113.813,0.0247498
XM_015810292.1,0,0,0,0
XM_015810293.1,0,0,0,0
XM_015810295.1,0,0.840911,0,0.085271
XM_015810296.1,0,0.000422662,22.4594,0
XM_015810297.1,0.0249394,0,22.7766,0.00981027
XM_015810299.1,181.515,1.755,161.634,50.3284
XM_015810300.1,0,1.42091,72.1702,0.0448433
XM_015810303.1,0.187936,0.68675,34.8116,0.0311801
XM_015810305.1,0.272194,4.43311,73.0803,106.115
XM_015810306.1,0.0561105,0,0,0
XM_015810307.1,0,0,0.0218412,0.0115121
XM_015810309.2,0.603546,2.28228,356.431,0
XM_015810310.1,0.00427625,0.2333,0,2.28145
XM_015810312.1,0,0,0,0
XM_015810313.1,0,0,0,11.9043
XM_015810314.1,0.189622,5.33788,52.5439,0.149491
XM_015810315.1,0,0,0,0
XM_015810316.1,0.253298,2.42871,0.167215,311.89
XM_015810317.1,4.7881,0.302626,12.8844,5.48258
XM_015810319.1,0.0799535,7.45034,263.162,3.56208
XM_015810320.1,0.797992,0,69.6629,0
XM_015810321.1,0,0,0.0529272,0
XM_015810322.1,0.0451031,0,0,0
XM_015810323.1,0,0,11.5074,0.0224963
XM_015810324.1,0,0,15.7025,0.043504
XM_015810325.1,0,0,0,0
XM_015810326.1,0,0,160.347,8.90577
XM_015810327.1,0.0970277,0.860988,64.6742,0
XM_015810328.1,0.169654,0,7.32484,0
XM_015810331.1,0,0,0,0
XM_015810332.1,0,0,0,0
XM_015810334.2,0,0,0,0
XM_015810337.1,0,0,0,0
XM_015810338.1,0.374602,0,0,0
XM_015810340.1,0,0,0,0
XM_015810342.1,0,0,0.0412666,0
XM_015810343.1,0.156738,2.5475,219.933,300.948
XM_015810344.1,0,0,0,0
XM_015810345.1,0,0,0,0
XM_015810346.1,0,0,0.0314744,0.0998185
XM_015810347.1,0,0,0,0
XM_015810348.1,0,0,0,0
XM_015810349.2,822.861,1.23862,0.173383,0.0784808
XM_015810350.1,0,0,0,0
XM_015810351.2,0,0,0,0
XM_015810352.1,0,0,0,0
XM_015810353.1,0,0,0,0
XM_015810354.1,0,0,0,0
XM_015810355.1,0,0,0,0
XM_015810356.1,0.067856,0.631716,0,0.0267545
XM_015810357.1,0,0,0,0
XM_015810359.1,0,0,0.150347,193.586
XM_015810360.1,0,0,0,0
XM_015810361.1,0,0,0,0.0257317
XM_015810363.1,0,0,0,0
XM_015810364.1,0,0,0,0
XM_015810365.1,0,0,0,0
XM_015810366.2,0.118178,0.906491,55.745,77.2187
XM_015810367.1,0,0,0,0
XM_015810368.1,0,0,0,0
XM_015810369.1,0,0,0.0389458,0
XM_015810370.1,0,1.08423,0.0439847,0
XM_015810371.1,0,0,0,0
XM_015810372.1,0,0,0,0
XM_015810373.1,0,0.621328,0,0.0123199
XM_015810375.1,0.0367861,0.747428,30.3079,0.0289304
XM_015810376.1,0.115001,0.544846,73.5548,0.113293
XM_015810377.1,0,0,0,0
XM_015810378.1,0,0.824383,0.0316281,0
XM_015810380.1,0,0.247108,7.64804,0.00472448
XM_015810381.1,0,0,0,0
XM_015810382.1,0,0,0,0
XM_015810383.1,0,0,0,0
XM_015810384.1,0,0,0,0
XM_015810385.1,0,0,0,0
XM_015810386.1,0,0,0,0
XM_015810387.2,0,0.885129,0.102488,146.571
XM_015810392.1,0,0,0,0
XM_015810394.2,0,0,0,0
XM_015810395.1,0.118496,0,32.6568,0.046609
XM_015810396.1,0,0,0,0
XM_015810398.1,0,0,0,0
XM_015810399.1,0,0,0,0.0163348
XM_015810402.1,0.0367999,0.361577,5.1096,0.0289702
XM_015810403.1,0,0,0.111721,0
XM_015810404.1,0,0,0,0
XM_015810405.1,0,0,0,0
XM_015810406.1,0,0,0,0
XM_015810407.1,0,0,0,0
XM_015810408.1,0.21044,0,66.783,0
XM_015810409.1,2.25484,0,0.0182072,0
XM_015810410.1,0,0,0,0
XM_015810411.2,0,0,0,0
XM_015810412.1,0,0,0,0
XM_015810414.1,0,0,0,0
XM_015810415.1,0.0575463,0.545238,21.3946,0
XM_015810417.2,0,0,0,0
XM_015810418.1,0.0152222,0.155554,0.00568125,0.00598471
XM_015810420.1,0.270025,3.08893,10.563,250.816
XM_015810421.1,0,0,0,0
XM_015810422.1,0.379341,4.87808,187.204,7.12254
XM_015810423.1,0,0,0,0
XM_015810424.2,0.0726989,0.369427,26.3869,0.0571733
XM_015810426.1,0.139428,0.343678,19.125,0.0548756
XM_015810427.2,2.39019,0,2.20923,0.0672749
XM_015810428.1,0.218082,1.89898,238.454,41.0601
XM_015810429.1,0,0,0,0
XM_015810430.1,0.0458142,1.38476,5.62566,0.0360394
XM_015810431.1,0,0,0,0
XM_015810432.1,0,0,0,0.0395262
XM_015810433.1,0.180946,0.355964,0.0945527,0
XM_015810434.1,0.0820783,0.400202,16.7581,0.0329216
XM_015810435.1,0,0,0.0793814,0
XM_015810436.2,0,0,20.6113,0.0305388
XM_015810437.1,0.0563418,0,0.0105144,0
XM_015810438.2,0.279055,2.14424,251.28,0.0801881
XM_015810439.1,0.788146,2.97445,114.371,261.966
XM_015810440.1,0.119307,1.55477,134.767,0.140907
XM_015810441.1,0,0,0,0
XM_015810442.1,0,0,0,0
XM_015810443.1,0.02577,0,0,0
XM_015810444.1,0.0539241,0.514123,0.0201282,0.0212453
XM_015810445.1,0.305023,0.895556,217.23,272.118
XM_015810446.1,0.0263287,0.135041,22.7481,0.00517508
XM_015810448.1,0,0.231855,0.0343626,0.0124623
XM_015810449.1,0.0277448,0.284232,9.00357,0.0381753
XM_015810450.1,0,0,125.764,46.3074
XM_015810452.1,0,0,0,0
XM_015810454.1,0,0.954279,0,0
XM_015810455.1,0.809211,3.09898,88.5185,475.211
XM_015810456.1,0,0,0.304203,0.0145822
XM_015810457.1,0,0,0,0
XM_015810458.1,0,0,69.0819,0.0841231
XM_015810459.1,0,0.160537,36.697,0.0123647
XM_015810460.1,0,0,0,0.0114794
XM_015810461.1,0.0283089,0.451989,53.3483,0.0831903
XM_015810462.1,0.0693923,0.710441,1.64481,0
XM_015810463.1,0,0.242245,0.125908,0.00947818
XM_015810464.1,0,0.183593,0.0741477,0.00710178
XM_015810465.1,0.0823822,0,0,0
XM_015810466.1,0,0,0.0444543,0
XM_015810467.1,0,0,0,0
XM_015810468.1,0,0,0,0
XM_015810469.1,0,0,0,0
XM_015810470.1,0,0,0,0
XM_015810471.1,0,0,0,0
XM_015810472.1,0.148144,0,0,0
XM_015810474.2,0,0,0,0
XM_015810475.1,0,0,0,0
XM_015810476.1,0,0,0,0
XM_015810477.1,0,0,0,0
XM_015810478.1,0,0,0,0
XM_015810479.1,0,0,0,0
XM_015810480.1,0,0,0,0
XM_015810481.1,0,0,0,0
XM_015810482.1,0.310828,0,61.4641,0
XM_015810483.1,0,0,0,0
XM_015810484.1,0,0,0,0
XM_015810485.1,0,0,0,0
XM_015810486.2,0,0,0,0
XM_015810487.1,0,0,36.5549,0
XM_015810488.1,0,0,0,0
XM_015810490.1,0,0,0,0
XM_015810491.1,0,0,0,0
XM_015810492.1,0,0,0,0
XM_015810494.2,0,0,0,0
XM_015810496.1,0,0,0,0
XM_015810497.1,0.271877,3.356,130.423,0.213998
XM_015810498.1,0,0,0,0
XM_015810500.1,0,0,0,0
XM_015810503.1,0,0,0,0
XM_015810504.1,0,0,0,0
XM_015810505.1,0.0746872,0,47.6196,43.4826
XM_015810506.1,0,0,0,0
XM_015810507.1,0,0,0,0
XM_015810508.1,0,0,0,0.0565868
XM_015810509.1,0,0,0,0
XM_015810510.1,0,0,0,0
XM_015810511.2,0,0,176.772,0
XM_015810512.1,0,0,6.60035,0.0197879
XM_015810513.1,0,0,0.0593562,0
XM_015810514.1,0,0.1023,0,0.00185935
XM_015810515.1,0,0.368432,29.3134,0.0257383
XM_015810516.1,22.6066,3.08977,104.611,48.5744
XM_015810517.1,0,0,1.77859,0
XM_015810518.1,0,0,0.0278986,0
XM_015810519.2,0.465772,3.55881,30.629,317.124
XM_015810520.1,0.127395,2.84147,43.2936,225.027
XM_015810521.1,0.431121,1.52439,80.8211,7.7185
XM_015810522.1,0.0566523,0.84777,108.621,0.0891563
XM_015810526.1,0,0,0.0621848,0
XM_015810527.1,0.0125787,0,0.00938957,0
XM_015810528.1,0,0,0,0
XM_015810529.1,0.0835297,0,0,0.164812
XM_015810530.1,0.0386998,0.757918,33.2942,0.246993
XM_015810531.1,0.29568,0.681187,114.128,0.11662
XM_015810532.1,0,0.745618,0,0
XM_015810533.1,0,0,0,0
XM_015810534.1,0.0758683,0,0.0283213,0
XM_015810535.1,0.0765759,0.750403,34.7985,20.1212
XM_015810536.1,0.0750768,0,0.0280258,0
XM_015810537.1,0.0311999,0.928941,13.8926,0.0982166
XM_015810538.1,0.404605,6.19797,199.11,0.240735
XM_015810539.1,0.0500604,0,0.0186858,4.57478
XM_015810540.2,0,0.493343,0.0192344,0.0202994
XM_015810541.1,0,0,0,4.17841
XM_015810542.1,0,0.438208,49.2934,0.0356572
XM_015810543.1,0,0.37991,28.33,0.0305513
XM_015810545.1,0,0,0,0
XM_015810546.1,0,0,0.079147,0
XM_015810548.2,0.049749,0,0,0
XM_015810549.1,0,0,0.0558766,0
XM_015810550.1,0,0,0,0
XM_015810551.1,0,0,0,0
XM_015810553.1,0.713307,4.70056,34.3653,258.065
XM_015810554.1,0,0,0,0
XM_015810555.1,0,0,0,0
XM_015810556.1,0.0933662,0.901472,0.0348498,115.808
XM_015810558.1,0,0,0,0.0353092
XM_015810559.1,0.0718534,0,0,0
XM_015810560.2,0.0255413,0.512199,0.00953288,0
XM_015810561.1,0,0,0,0
XM_015810562.1,0,0,0,0
XM_015810563.1,0.0538434,0,11.7976,0
XM_015810564.1,0,0,0,0
XM_015810565.1,0,0,0,0
XM_015810567.1,0,0,0,0
XM_015810568.1,0,0,0,0
XM_015810570.1,0,0,0,0
XM_015810571.1,0.0166446,0,0.0186364,0.00654444
XM_015810572.1,0,0,0.0132346,0.0139559
XM_015810573.1,0,0,53.6673,0.163877
XM_015810574.1,0,0,0,0
XM_015810575.1,0.0799122,0.729095,0,0.0315287
XM_015810576.1,0.0700353,0.649611,0,0.027617
XM_015810577.2,0,0.461736,0,0.0188762
XM_015810578.1,0.177176,0,0.617182,0
XM_015810579.1,0.0840925,0.409293,0.0313879,0.0165549
XM_015810580.1,0,0,0.143597,0
XM_015810581.1,0.0974337,0.165631,38.5463,22.9917
XM_015810583.1,0.655523,4.41893,499.699,326.407
XM_015810584.1,0.164779,0,0,0.103844
XM_015810585.2,0,0,11.0686,7.48E-05
XM_015810586.1,48.02,2.72547,0,157.364
XM_015810587.2,0,0,11.9308,0.163333
XM_015810588.1,55.909,0,42.356,0.310654
XM_015810589.1,0,0,0,0
XM_015810590.1,0,180.387,1.86186,1.32608
XM_015810591.1,36.8835,1.16877,54.4083,0.126996
XM_015810592.1,0,0,0,0
XM_015810593.1,0.126421,2.79698,17.6467,0.0645192
XM_015810594.1,0.111181,1.05697,80.0337,0.0219037
XM_015810595.1,1.73963,2.56929,72.4687,0.155095
XM_015810596.1,1.80E-07,0,0,0
XM_015810597.1,0,0,0,0
XM_015810598.2,0,0,0,0
XM_015810599.1,0.0896444,0,0,0
XM_015810600.1,0,0.451273,0.104685,0.0920455
XM_015810601.1,0.0468889,0,54.7062,0.0184429
XM_015810602.1,0.0522788,0,0,0.0205952
XM_015810603.1,0,1.02131,18.1005,0
XM_015810604.1,0,0,0,0
XM_015810605.1,0.123805,0,0,0
XM_015810606.1,0.09367,0.452082,30.89,0.0368903
XM_015810607.1,0.112257,0,0,2.52879
XM_015810608.2,6.36288,5.8544,325.161,710.292
XM_015810609.1,0,0,0,0
XM_015810610.1,0.0448222,0,0.0167302,0
XM_015810611.1,0.152541,2.80037,19.0759,0.0902576
XM_015810612.1,0,0,0,0.0174867
XM_015810613.1,0,0,0,0
XM_015810614.1,0,0,0,0
XM_015810616.1,0,0,0,0
XM_015810617.1,0,0,0,0
XM_015810618.1,0,0,0,0
XM_015810619.1,0,0,0,0
XM_015810620.1,0,0,0,0
XM_015810621.1,0,0,0.148614,0
XM_015810622.1,0,0,0.0690114,0
XM_015810623.1,0,0,0,0
XM_015810624.1,0,0,0,0
XM_015810625.1,0,0,0,0
XM_015810626.1,0,0,0,0
XM_015810629.1,0,0,0,0
XM_015810630.1,0.0315003,0,0,0
XM_015810631.1,3.57E-06,0.0119353,6.31911,3.56E-06
XM_015810632.1,0.0123686,0.750607,7.12497,0.0145868
XM_015810633.1,0.707154,1.46167,47.9545,6.87097
XM_015810634.2,0,0.183638,0.114621,0
