target_id,colors
XM_015810287.1,lightcyan
XM_015810288.1,lightcyan
XM_015810289.1,salmon
XM_015810290.1,darkturquoise
XM_015810291.1,salmon
XM_015810293.1,black
XM_015810295.1,salmon
XM_015810296.1,salmon
XM_015810297.1,salmon
XM_015810299.1,darkturquoise
XM_015810300.1,salmon
XM_015810303.1,green
XM_015810305.1,salmon
XM_015810307.1,salmon
XM_015810309.2,turquoise
XM_015810310.1,salmon
XM_015810312.1,blue
XM_015810313.1,blue
XM_015810314.1,turquoise
XM_015810315.1,turquoise
XM_015810316.1,blue
XM_015810317.1,darkgreen
XM_015810319.1,darkturquoise
XM_015810320.1,salmon
XM_015810321.1,salmon
XM_015810322.1,blue
XM_015810323.1,salmon
XM_015810324.1,cyan
XM_015810326.1,blue
XM_015810327.1,blue
XM_015810328.1,blue
XM_015810334.2,black
XM_015810337.1,turquoise
XM_015810338.1,salmon
XM_015810342.1,green
XM_015810343.1,darkturquoise
XM_015810344.1,blue
XM_015810345.1,green
XM_015810346.1,blue
XM_015810349.2,turquoise
XM_015810351.2,darkred
XM_015810353.1,turquoise
XM_015810355.1,turquoise
XM_015810356.1,salmon
XM_015810357.1,greenyellow
XM_015810359.1,salmon
XM_015810361.1,black
XM_015810363.1,black
XM_015810364.1,blue
XM_015810365.1,turquoise
XM_015810366.2,red
XM_015810367.1,darkred
XM_015810369.1,blue
XM_015810370.1,blue
XM_015810371.1,turquoise
XM_015810372.1,turquoise
XM_015810375.1,turquoise
XM_015810376.1,lightgreen
XM_015810378.1,blue
XM_015810380.1,black
XM_015810381.1,black
XM_015810382.1,turquoise
XM_015810383.1,turquoise
XM_015810387.2,lightcyan
XM_015810395.1,red
XM_015810402.1,salmon
XM_015810403.1,salmon
XM_015810405.1,blue
XM_015810406.1,black
XM_015810407.1,black
XM_015810408.1,salmon
XM_015810409.1,lightcyan
XM_015810410.1,lightcyan
XM_015810411.2,black
XM_015810415.1,salmon
XM_015810417.2,lightcyan
XM_015810418.1,salmon
XM_015810420.1,turquoise
XM_015810421.1,red
XM_015810422.1,darkturquoise
XM_015810424.2,turquoise
XM_015810426.1,salmon
XM_015810427.2,darkturquoise
XM_015810428.1,darkturquoise
XM_015810429.1,salmon
XM_015810430.1,turquoise
XM_015810432.1,turquoise
XM_015810433.1,salmon
XM_015810434.1,salmon
XM_015810435.1,green
XM_015810436.2,salmon
XM_015810437.1,salmon
XM_015810438.2,darkturquoise
XM_015810439.1,salmon
XM_015810440.1,turquoise
XM_015810441.1,salmon
XM_015810442.1,lightgreen
XM_015810443.1,lightcyan
XM_015810444.1,salmon
XM_015810445.1,salmon
XM_015810446.1,cyan
XM_015810448.1,salmon
XM_015810449.1,salmon
XM_015810450.1,salmon
XM_015810454.1,turquoise
XM_015810455.1,salmon
XM_015810456.1,salmon
XM_015810457.1,black
XM_015810458.1,salmon
XM_015810459.1,salmon
XM_015810460.1,salmon
XM_015810461.1,red
XM_015810462.1,blue
XM_015810463.1,blue
XM_015810464.1,salmon
XM_015810465.1,salmon
XM_015810466.1,lightcyan
XM_015810470.1,turquoise
XM_015810472.1,turquoise
XM_015810478.1,turquoise
XM_015810479.1,turquoise
XM_015810480.1,blue
XM_015810481.1,turquoise
XM_015810482.1,turquoise
XM_015810484.1,turquoise
XM_015810486.2,turquoise
XM_015810487.1,salmon
XM_015810488.1,green
XM_015810490.1,salmon
XM_015810491.1,darkred
XM_015810492.1,black
XM_015810497.1,darkred
XM_015810503.1,darkred
XM_015810505.1,darkred
XM_015810508.1,blue
XM_015810510.1,green
XM_015810511.2,turquoise
XM_015810512.1,salmon
XM_015810513.1,salmon
XM_015810514.1,salmon
XM_015810515.1,lightgreen
XM_015810516.1,turquoise
XM_015810517.1,salmon
XM_015810518.1,green
XM_015810519.2,cyan
XM_015810520.1,salmon
XM_015810521.1,black
XM_015810522.1,blue
XM_015810526.1,blue
XM_015810528.1,turquoise
XM_015810529.1,turquoise
XM_015810530.1,darkturquoise
XM_015810531.1,salmon
XM_015810532.1,salmon
XM_015810533.1,green
XM_015810534.1,salmon
XM_015810535.1,blue
XM_015810536.1,turquoise
XM_015810537.1,turquoise
XM_015810538.1,darkturquoise
XM_015810539.1,darkred
XM_015810540.2,blue
XM_015810541.1,salmon
XM_015810542.1,salmon
XM_015810543.1,salmon
XM_015810545.1,turquoise
XM_015810546.1,turquoise
XM_015810548.2,blue
XM_015810549.1,salmon
XM_015810551.1,salmon
XM_015810553.1,blue
XM_015810554.1,darkred
XM_015810556.1,blue
XM_015810558.1,turquoise
XM_015810559.1,greenyellow
XM_015810560.2,salmon
XM_015810561.1,salmon
XM_015810562.1,darkred
XM_015810563.1,salmon
XM_015810567.1,lightgreen
XM_015810568.1,blue
XM_015810570.1,salmon
XM_015810571.1,salmon
XM_015810572.1,blue
XM_015810573.1,green
XM_015810574.1,salmon
XM_015810575.1,salmon
XM_015810576.1,darkturquoise
XM_015810577.2,salmon
XM_015810578.1,turquoise
XM_015810579.1,darkgreen
XM_015810580.1,blue
XM_015810581.1,salmon
XM_015810583.1,lightyellow
XM_015810584.1,salmon
XM_015810585.2,salmon
XM_015810586.1,darkturquoise
XM_015810587.2,salmon
XM_015810588.1,salmon
XM_015810589.1,salmon
XM_015810590.1,salmon
XM_015810591.1,salmon
XM_015810592.1,lightgreen
XM_015810593.1,salmon
XM_015810594.1,salmon
XM_015810595.1,salmon
XM_015810596.1,green
XM_015810597.1,blue
XM_015810598.2,salmon
XM_015810599.1,turquoise
XM_015810600.1,turquoise
XM_015810601.1,salmon
XM_015810602.1,turquoise
XM_015810603.1,turquoise
XM_015810604.1,turquoise
XM_015810605.1,turquoise
XM_015810606.1,turquoise
XM_015810607.1,turquoise
XM_015810608.2,purple
XM_015810609.1,salmon
XM_015810610.1,salmon
XM_015810611.1,salmon
XM_015810612.1,blue
XM_015810613.1,blue
XM_015810616.1,turquoise
XM_015810620.1,turquoise
XM_015810625.1,blue
XM_015810626.1,purple
XM_015810630.1,salmon
XM_015810631.1,turquoise
XM_015810632.1,turquoise
XM_015810633.1,darkturquoise
XM_015810634.2,salmon
XM_015810635.1,salmon
XM_015810636.1,darkgreen
XM_015810637.1,green
XM_015810638.1,green
XM_015810639.2,red
XM_015810640.2,turquoise
XM_015810641.1,green
XM_015810642.1,darkturquoise
XM_015810643.1,turquoise
XM_015810644.1,red
XM_015810645.1,red
XM_015810646.1,black
XM_015810648.1,turquoise
XM_015810651.1,cyan
XM_015810652.1,salmon
XM_015810653.1,salmon
XM_015810654.1,green
XM_015810655.1,salmon
XM_015810656.1,salmon
XM_015810658.1,salmon
XM_015810659.1,turquoise
XM_015810660.1,turquoise
XM_015810662.1,black
XM_015810663.1,turquoise
XM_015810664.1,blue
XM_015810665.1,red
XM_015810669.2,salmon
XM_015810672.1,darkred
XM_015810674.1,lightcyan
XM_015810677.1,purple
XM_015810680.1,greenyellow
XM_015810683.1,blue
XM_015810688.2,turquoise
XM_015810690.1,black
XM_015810691.1,blue
XM_015810693.1,blue
XM_015810697.1,blue
XM_015810699.1,greenyellow
XM_015810702.1,blue
XM_015810703.1,blue
XM_015810704.1,purple
XM_015810705.1,greenyellow
XM_015810706.1,lightgreen
XM_015810709.1,turquoise
XM_015810710.1,lightgreen
XM_015810711.1,turquoise
XM_015810712.1,lightyellow
XM_015810713.2,purple
XM_015810714.1,blue
XM_015810715.2,purple
XM_015810717.1,greenyellow
XM_015810718.1,turquoise
XM_015810719.1,darkgreen
XM_015810720.1,purple
XM_015810721.1,purple
XM_015810722.1,purple
XM_015810723.1,turquoise
XM_015810724.1,black
XM_015810725.1,blue
XM_015810726.1,lightgreen
XM_015810727.1,purple
XM_015810728.1,purple
XM_015810730.2,blue
XM_015810731.1,grey60
XM_015810732.1,lightgreen
XM_015810733.1,salmon
XM_015810736.1,darkred
XM_015810737.2,salmon
XM_015810738.2,salmon
XM_015810739.2,salmon
XM_015810740.1,green
XM_015810741.1,salmon
XM_015810742.1,salmon
XM_015810743.1,black
XM_015810744.1,salmon
XM_015810745.1,salmon
XM_015810746.1,salmon
XM_015810748.1,turquoise
XM_015810749.2,turquoise
XM_015810753.2,lightgreen
XM_015810756.1,blue
XM_015810759.1,blue
XM_015810763.1,turquoise
XM_015810765.1,greenyellow
XM_015810768.1,cyan
XM_015810769.1,black
XM_015810770.1,greenyellow
XM_015810771.2,greenyellow
XM_015810772.2,cyan
XM_015810773.1,turquoise
XM_015810777.1,purple
XM_015810778.1,green
XM_015810779.1,black
XM_015810781.1,blue
XM_015810782.1,turquoise
XM_015810784.1,blue
XM_015810785.1,darkgrey
XM_015810787.1,darkred
XM_015810789.1,salmon
XM_015810790.1,turquoise
XM_015810792.1,turquoise
XM_015810793.2,cyan
XM_015810795.1,blue
XM_015810796.1,blue
XM_015810797.1,lightcyan
XM_015810798.1,salmon
XM_015810799.1,salmon
XM_015810801.1,turquoise
XM_015810802.1,blue
XM_015810805.1,salmon
XM_015810806.1,salmon
XM_015810807.1,blue
XM_015810808.1,green
XM_015810810.1,turquoise
XM_015810811.1,blue
XM_015810818.1,lightgreen
XM_015810820.1,lightgreen
XM_015810823.1,blue
XM_015810827.1,blue
XM_015810828.1,red
XM_015810829.2,green
XM_015810830.1,purple
XM_015810831.1,lightgreen
XM_015810832.1,turquoise
XM_015810833.1,red
XM_015810834.1,red
XM_015810835.1,greenyellow
XM_015810836.1,blue
