"","target_id","logFC","unshrunk.logFC","logCPM","PValue"
"1","XM_015810033.1",19.335191940165,19.339038151705,18.3679188104839,1.61659025987655e-15
"2","XM_015814303.2",16.691854811986,16.6926662667453,17.9597988485527,6.02890197544814e-22
"3","XM_015810163.1",15.4747697480374,15.4861424871098,12.9380338811201,9.11449083163463e-18
"4","XM_015825963.1",14.3980933955852,14.4179781138908,11.0449655180576,6.848999218691e-21
"5","XM_015809951.1",13.5972621386674,13.6074938729284,11.2181753745321,1.40983378959254e-10
"6","XM_029285073.1",13.5970558903115,13.6099307776398,10.869673605833,9.51800688839222e-20
"7","XM_015813766.2",12.9323221363474,12.9325008252898,16.38362813133,7.85595161496854e-21
"8","XM_029286445.1",12.6470461482966,12.650023735735,12.0368243419205,2.74261908318579e-17
"9","XM_015814320.1",12.4086060128436,12.4137220717541,11.0185142198341,4.04630747183142e-14
"10","XM_015816410.1",12.3712758639914,12.371403527809,16.308186692484,9.78804747628485e-21
"11","XM_015820038.1",12.335977063525,12.3367962228965,13.590381260478,5.2308393824178e-21
"12","XM_015828919.1",12.1786733602266,12.1850911495988,10.4686450910192,9.9806752392097e-10
"13","XM_015828860.1",12.1405109699505,12.1565090900007,9.08495168060912,8.65801713777109e-19
"14","XM_015819392.1",11.9366387368312,11.9374924105085,13.1313333768077,5.33025793275844e-18
"15","XM_015814006.1",11.8340433177167,11.8388234565794,10.5405223493584,7.50034330487623e-10
"16","XM_015826095.1",11.7621734484627,11.7684624900197,10.0657967389367,7.47702396504291e-11
"17","XM_015812675.1",11.4852735910266,11.4887685426776,10.6434097828125,1.79790179536753e-13
"18","XM_015818660.1",11.4605513609966,11.4629002065678,11.1981975328572,8.55206647049185e-16
"19","XM_015818584.1",11.3489632502128,11.3535833752782,10.1028994265231,6.1306344552152e-14
"20","XM_015813012.1",11.3456473172722,11.3518481412046,9.67529191710382,1.30812848002603e-11
"21","XM_015830349.1",11.3179313499288,11.3204254358727,10.9627134593031,2.03247436806728e-20
"22","XM_029284822.1",11.2961224860415,11.2982273722101,11.1897740966246,2.04897793474805e-15
"23","XM_015824367.1",11.1613435921173,11.1632717317387,11.1812901491068,2.7468255634383e-18
"24","XM_015824144.1",11.1267307116613,11.1296553872349,10.544412744952,2.07278249800263e-12
"25","XM_015815524.1",11.0708206668982,11.0737978683431,10.4626487887593,6.63192156501028e-14
"26","XM_015832004.1",11.0214690157907,11.0218549826976,13.3639118384276,5.3824909970083e-20
"27","XM_015818932.2",11.0063781623316,11.0090049862129,10.5844576780078,1.0307293434087e-14
"28","XM_015832363.1",10.9974363074757,10.9981979413282,12.358999103339,8.89249420937366e-21
"29","XM_015822983.1",10.9922788617299,10.9943829470611,10.8859198014811,1.7437855740132e-14
"30","XM_015814531.1",10.9417591600437,10.9437398200515,10.9253868318651,1.37372578550231e-16
"31","XM_015818885.1",10.9343212156907,10.9359343423917,11.212585953103,1.39530154929938e-14
"32","XM_015811473.2",10.8770055324546,10.8788475602218,10.9634658521974,2.41117377890037e-14
"33","XM_029284473.1",10.8743783437079,10.8773522705039,10.2678740255467,1.08452670730761e-16
"34","XM_015812250.1",10.8704909659846,10.8721943906443,11.0727382353808,4.48104639861362e-10
"35","XM_015816333.1",10.8523195821575,10.8542016598692,10.9063598017928,2.7324156143499e-13
"36","XM_015828284.1",10.7976818929593,10.7996551854414,10.7843524276372,2.43407336234961e-15
"37","XM_015816352.1",10.7739893896724,10.7762174841449,10.5859219017146,3.11716579217771e-18
"38","XM_029285430.1",10.7652370624207,10.7655818042771,13.2717720139128,4.66369860600181e-20
"39","XM_015813689.1",10.7545032113424,10.7561174271391,11.0300057723898,3.13582055970692e-15
"40","XM_015822412.1",10.754043452054,10.7559328495193,10.8069015052916,4.09635984718353e-14
"41","XM_015815050.1",10.7460656787833,10.7484900758215,10.4392010241136,3.75865235212727e-15
"42","XM_015818672.1",10.724420898994,10.7273727975476,10.1320695647446,1.41241528751514e-10
"43","XM_015829063.1",10.6832392469404,10.6909724854775,8.66749948558727,1.09995268474378e-12
"44","XM_015831471.1",10.680356731269,10.6815656126714,11.3728358661824,1.68912291250467e-10
"45","XM_015821819.1",10.6281927859512,10.632810037791,9.38068786405216,1.56965351214602e-14
"46","XM_015818684.1",10.6148209306328,10.6161295518597,11.1958868403973,4.62220288075757e-13
"47","XM_015822209.1",10.6117649925747,10.614575886373,10.0871103591609,1.81730525955471e-16
"48","XM_029286863.1",10.591551384949,10.5924722991458,11.6802542767555,2.99287220282596e-14
"49","XM_015816165.1",10.5850784220347,10.5868606732339,10.7204051805493,1.75681061480794e-12
"50","XM_015831651.1",10.5781328052217,10.5802879677908,10.4397452410149,2.4481488246774e-16
"51","XM_015827285.1",10.5684428310944,10.5717513738076,9.81052836109298,8.43596437181417e-16
"52","XM_015820901.1",10.5580619100045,10.5592512214943,11.2778757076295,1.32990574201519e-15
"53","XM_015814815.1",10.5204737230109,10.5233762002026,9.94980007834531,1.14361015087832e-11
"54","XM_015831913.1",10.5013740464442,10.5015403360756,14.0610633631,9.69343130296936e-20
"55","XM_015819977.1",10.4379223677486,10.4400911834036,10.2916310790331,7.37677973319633e-15
"56","XM_015821855.1",10.4377216463453,10.4393219821473,10.7276990806275,1.09045850964605e-15
"57","XM_015816140.2",10.4374071269621,10.4384347035872,11.3669844524317,3.63281343641684e-15
"58","XM_029286091.1",10.4364722410721,10.4399320861369,9.60828906481399,1.37294124756943e-14
"59","XM_015817323.1",10.3837741198337,10.3854367608061,10.6177800548494,2.77069711160944e-15
"60","XM_015828222.1",10.3669093985984,10.3704806695555,9.49847755150629,1.07198934865529e-14
"61","XM_015819357.1",10.3618319251716,10.3631821249684,10.8990399612187,1.14995072273539e-13
"62","XM_015814011.1",10.2742829991317,10.2761456305729,10.3451845292763,3.04138709138605e-13
"63","XM_015825605.1",10.2604475577675,10.263173273534,9.78444818580095,1.25761756552823e-14
"64","XM_015816591.1",10.198906254053,10.2007941961241,10.2508283535063,8.14404479101049e-15
"65","XM_015828070.2",10.1925292277884,10.1930609585897,12.0751231795078,5.2036334309354e-14
"66","XM_029285778.1",10.1910278523482,10.1923019708875,10.8131112100784,8.29324767277505e-15
"67","XR_001549398.1",10.1392248095967,10.1436136704766,8.96654019796834,2.92551662478196e-13
"68","XM_015814813.1",10.1319430379902,10.1328732991083,11.2074017455039,4.67306361623376e-15
"69","XM_015832434.1",10.107594608413,10.108036924874,12.2572517032997,4.19816835751477e-20
"70","XM_015830767.1",10.1048585914315,10.1088515562942,9.06252920084257,2.40460947380151e-13
"71","XM_015815365.1",10.0766292047497,10.0787163015377,9.98189845739357,1.34589898149492e-13
"72","XM_015827349.1",10.0546054464719,10.0564770396811,10.1188906182592,5.67968615057939e-14
"73","XM_015814975.1",10.0446386640444,10.0461184282593,10.447913503019,5.92902570138834e-13
"74","XM_015828077.2",10.0439800558353,10.0448884450785,11.153147210462,1.05127410792367e-13
"75","XM_015812220.1",10.0321876881888,10.0331493253826,11.0602736699673,2.6007414277046e-15
"76","XM_015828160.2",10.0290818976047,10.0317546771729,9.5814664640375,2.61552993084088e-14
"77","XM_029283308.1",10.0118950747128,10.0126167569518,11.4547241718806,1.90957010549349e-15
"78","XM_015821349.1",10.0114987658487,10.0126863008803,10.7341050682289,2.81895959947597e-14
"79","XM_015815854.1",10.0019068481102,10.0032456063764,10.5513245464302,1.98857972778041e-14
"80","XM_029286417.1",9.95651783479906,9.95957987251103,9.3043464532167,7.3623128557258e-14
"81","XM_015816317.2",9.94100390285756,9.94124966359902,12.9387113517009,1.93376576453397e-09
"82","XM_015828569.1",9.93843855400611,9.93979789940568,10.4651581490694,4.17357775232645e-15
"83","XM_015824520.2",9.93504465664823,9.93566790519643,11.5899234802988,5.25069825731948e-14
"84","XM_029285165.1",9.93037010088937,9.93262373869796,9.73008496051405,9.63283488261574e-14
"85","XM_029284504.1",9.91467988440091,9.91577048668718,10.7603975311542,1.79348109319824e-14
"86","XM_029285869.1",9.90943737908078,9.91296681137937,9.04923810473241,2.2852461728711e-15
"87","XM_015830320.1",9.89896858365617,9.90129727264432,9.64837603542764,2.65381543317483e-14
"88","XM_015829578.1",9.89419012089266,9.89567394352224,10.2952692525826,3.4892669053817e-16
"89","XM_015811139.2",9.83300976625551,9.83446347817931,10.2645548412899,1.24188204251956e-15
"90","XM_015826695.1",9.80156239698958,9.80240286815357,11.0261329313503,6.89062025724976e-17
"91","XM_015829998.1",9.78708396353533,9.78789835659886,11.0557589671928,3.84028721124686e-10
"92","XM_015822809.1",9.77101262464601,9.77137436085552,12.213089800246,2.3113853564549e-16
"93","XM_015813396.1",9.76233385359133,9.76296955417312,11.389157013158,1.40404242318237e-07
"94","XM_015831602.1",9.75112773274623,9.75196502603446,10.9812245650943,1.8623179348156e-14
"95","XM_015831384.1",9.74617513893377,9.74668763239117,11.6851644907901,1.66886730233973e-17
"96","XM_015829609.1",9.67553763944206,9.6785311305547,9.0630802551862,1.33907065723591e-14
"97","XM_015821436.2",9.67102105892147,9.67552167328366,8.45791159383104,2.9217688798701e-13
"98","XM_015823834.1",9.64384758722447,9.64400787074975,13.2609988560486,5.28388224049834e-14
"99","XM_015827373.1",9.63377821179861,9.63496520198535,10.3594834828814,1.48882415680346e-14
"100","XM_015826057.1",9.62451430459582,9.6272033070023,9.16854275782514,4.83870686230401e-18
"101","XM_015830762.2",9.60510330339049,9.60996526325815,8.28274496566165,3.84356302134702e-16
"102","XM_015812752.2",9.60485087883501,9.60834854023539,8.76302834184722,1.82894688526165e-20
"103","XM_015812287.2",9.57668863893993,9.57733713896824,11.1767622509115,4.95017334261577e-15
"104","XR_001549044.1",9.57444623028028,9.57557474314757,10.3744681221722,3.84498335018376e-18
"105","XM_015825305.1",9.57123394229427,9.5717121883215,11.6107111909046,1.42381599231742e-14
"106","XM_015830380.1",9.57099393297281,9.57140453563939,11.8308071923334,9.56446124857783e-19
"107","XM_015830200.1",9.56977685720722,9.57297419482676,8.86544937632929,2.17031531486642e-13
"108","XM_015813437.1",9.56847622004652,9.56918943514982,11.0298711242438,9.72630261067475e-15
"109","XM_015832270.1",9.54430787016419,9.54517236990582,10.728198038387,1.89055027907062e-14
"110","XM_015810771.2",9.53210243498542,9.53370036331033,9.82805009473464,1.86379877557231e-15
"111","XM_015822298.1",9.51208154708623,9.51416083099366,9.42268860630024,1.96837838613386e-13
"112","XM_015809953.1",9.50493446082519,9.5064181480344,9.90888231165257,5.63080557036359e-17
