target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f
XM_015810103.2,0,0,0,0
XM_015810104.1,0,0,0,0
XM_015810105.1,0,1,1633,0
XM_015810106.1,0,0,0,0
XM_015810107.1,0,0,0,0
XM_015810108.1,0,1,0,0
XM_015810109.1,0,0,0,0
XM_015810110.1,0,0,0,0
XM_015810111.2,0,0,0,0
XM_015810112.1,0,0,0,0
XM_015810114.1,0,0,0,0
XM_015810115.1,0,0,0,0
XM_015810116.1,0,0,0,0
XM_015810117.1,0,0,0,0
XM_015810118.1,0,0,0,0
XM_015810119.1,0,0,0,0
XM_015810120.1,0,0,0,0
XM_015810122.1,0,0,0,0
XM_015810123.1,0,0,0,0
XM_015810124.1,3,3,5,3
XM_015810125.1,0,0,0,0
XM_015810126.1,0,0,0,0
XM_015810127.2,0,0,0,0
XM_015810128.1,0,0,0,0
XM_015810129.1,0,0,0,0
XM_015810130.1,0,0,0,0
XM_015810131.1,0,0,0,0
XM_015810132.1,0,0,0,0
XM_015810133.1,0,0,0,0
XM_015810134.2,0,0,0,0
XM_015810135.1,22,16,2771,23
XM_015810136.1,0,0,0,0
XM_015810137.1,0,0,0,0
XM_015810141.1,0,0,0,0
XM_015810143.1,0,0,0,0
XM_015810145.1,0,0,16,1
XM_015810146.1,3,1,4,3
XM_015810147.1,1,0,1,2320
XM_015810149.1,0,0,0,0
XM_015810150.1,0,0,0,0
XM_015810151.1,0,0,0,0
XM_015810152.1,0,0,1523,1
XM_015810153.1,5,5,2459,5966
XM_015810154.2,10,7,3902,26
XM_015810155.2,0,0,0,0
XM_015810156.1,0,0,0,0
XM_015810157.2,0,0,0,0
XM_015810158.1,0,0,2911,4
XM_015810159.1,5,2,0,0
XM_015810160.1,3,0,3804,0
XM_015810161.1,0,0,2,2
XM_015810162.1,0,0,3175.04,0
XM_015810163.1,13332,23414,659.964,4611
XM_015810164.1,0,0,445,0
XM_015810165.1,2,0,2003,1
XM_015810166.1,4285,0,1,5
XM_015810167.1,0,0,1406,1
XM_015810168.1,0,0,0,0
